title	rating	review
Parfait, de qualite en tout point je recommande!	5,0 sur 5 etoiles	Apres plusieurs achats de vitre et essaie sur se site... je peux vous assurer que tout est conforme a la description!Propre!Vitre de qualite!Le tout bien protege dans une boite avec mousse de protection et fermeture par un autocollant!
Excellente qualite	5,0 sur 5 etoiles	Facile de pose et surtout resistante que demander de plus
Tres bon rapport qualite prix que demander de plus ?	5,0 sur 5 etoiles	Verre trempe tout a fait facile a installer : ce qui change c'est qu'il a un tour qui a la forme du portable et qui permet de mettre le verre trempe a la bonne place. Autrement tout y est : kit de nettoyage,chiffon sec, instructions et pour le prix 2 verres trempes. Reste la solidite a eprouver mais j'ai decide de ne pas jeter mon portable sur le sol pour en savoir plus !
Top	5,0 sur 5 etoiles	Tres bonne qualite du verre de protection ! Ayant l'habitude des verres de protection sois disant facile a installer mais qui laisse des bulle d'air, avec celle-ci c'est toute une autre histoire. Une note explicative bien detaille avec des bons produits pour appliquer le verre de protection sans bulle d'air. L'un des premier telephone que j'ai sans bulle d'air ! Merci.
Tres bonne protection, attention neanmoins aux decoupes !!	4,0 sur 5 etoiles	Tres bonne protection, neanmoins il faut faire attention aux decoupes, le premier verre de protection etait impossible a poser sur l'outillage d' "aide a la pose" car trop grande, et du coup tres difficile a poser, avec des bulles, etc.Deuxieme verre de protection quant a lui parfait, il me reste une micro-bulle sur l'arrete gauche du verre, mais sinon parfaite, bonne protection, bon touche, transparent.Je ne peux donc pas mettre 5 etoiles car qu'un seul verre pour deux achete, mais sinon la qualite est la, et le prix tres concurrentiel !
parfait ... maj : mais pas apres 3 mois	2,0 sur 5 etoiles	Kit complet avec guide pour la mise en place de la vitre.Je recommande ce produit pour sa qualite et le service rendu par le guide.Mise a jour le 5 fevrier 3019 :Sans raison, la vitre commence a se retirer des deux cotes en haut. Je fais tres attention donc default de la vitre. Je suis finalement decu ....
Qualite - Efficacite - Rapidite	5,0 sur 5 etoiles	Agreablement surpris par la qualite du produit et surtout le contenu !!!Franchement pas decu...Je mets 5* sans hesiter une seconde !!!J'espere que cette offre durera dans le temps et je repasserai surement commande chez vous.Ne changez rien 
Verre trempe de bonne qualite !!!	4,0 sur 5 etoiles	voila ! que dire de plus sur les verre trempes ? pas grand chose pour l'instant.La pose a etait facile racler avec une vieille carte bleue plusieurs fois sur l'ecran afin d'enlever les bulles de surplus.Un truc vraiment sympas c'est le socle d'installation anti-statique qui est fourni, pour eviter d'avoir des poussieres pendant la pose.Donc a recommander vivement. rapport qualite prix au top !!!
Super protection	4,0 sur 5 etoiles	Tres bonne protection d'ecran avec tout ce qu'il faut pour bien la poser ! Notamment un guide pour etre sur qu'elle soit bien posee... malgre cela j'ai un leger decalage mais rien de grave. Bonne reactivite de l'ecran malgre le verre pour le moment je n'ai pas eu de disfonctionnements. Je recommande !
Zero defaut	5,0 sur 5 etoiles	Kit plus que complet pour un changement de protection. Emballage soigne avec le necessaire complet pour une bonne mise en place. Lingette nettoyante, micro fibre pour essuyer, film anti poussiere, cadre guide pour une bonne mise en place de la protection. Notice en francais parfaitement claire. Je recommande vivement ce produit.
Trop de bulles	1,0 sur 5 etoiles	Quitte de pause fourni donc il est posee bien droit en revanche ca fait enormement de bulles sur tout le contour du film , j'ai essaye immediatement derriere avec le deuxieme meme chose c'est bourre de bulles sur tout le contour du film et meme en chauffant, ne s'evacuent pas .
Pas rentable a cause d'un defaut	2,0 sur 5 etoiles	Dans le lot de deux une n'etait pas bien, quand je l'ai pose il y avait deux grosse bulles au milieu et impossible de les faires partir meme en appuyant, mon ecran etait parfaitement propre et sans poussiere. Ca vient donc de la vitre qui etait defectueuse. J'ai donc ete oblige de mettre la 2e.Ce n'est pas tres rentable.
Parfait	5,0 sur 5 etoiles	Magnifique, fourni avec un gabarit qui se cale sur l'ecran pour guider l'installation, y'a plus qu'a poser!Tous les accessoires de nettoyage de l'ecran sont fournis (stickers pour la poussiere, lingettes alcoolisees, feutrine...)A voir dans le temps, mais le tout a l'air d'excellente qualite !
Je recommande	4,0 sur 5 etoiles	Le kit d'installation est genial il permet d'installer le verre trempe comme il faut et bien en place. Il couvre l'ecran (et non les bord noir du telephone) mais cela me convient car on peut mettre toute sorte de coque seule soucis c'est que les traces de doigt reste sur l'ecran
Super produit 	5,0 sur 5 etoiles	Impeccable. Protection achetee pour un iPhone X. Se pose tres facilement et surtout grace au gabarit de pose. J'ai l'habitude  D'en poser mais sur ce coup c'est encore plus simple ! Aucune bulle, ca adhere parfaitement et dimension ok. Couvre bien toute la partie de l'affucah Du lcd.A voir la tenue dans le temps mais je ne suis pas inquiet.
Super !	5,0 sur 5 etoiles	Un super produit pour son rapport qualite prix, pose super facile avec son outil de pose, garantie sans bulle, pour ma part j'ai reussi du premier coup, il me reste donc un verre trempe au cas ou ! Je recommande les yeux fermes !!
EXCELLENT rapport qualite prix !	5,0 sur 5 etoiles	J'ai ete tres agreablement surpris que pour 7,99EUR j'ai droit a un 2 protection d'ecran mais en plus de cela il est livre avec un super kit d'installation  ! petite linguettes pour desinfecter, Stickers anti-poussiere, une petite serviette pour que l'on retrouve pour des lunettes et en plus de ca une sorte de moule dans le quel on met son iPhone pour ne pas risquer de mal placer sa protection d'ecran  ! Top !  Maintenant je ne peux pas encore donner mon avis sur l'efficacite et la resistance du produit
Une vraie crasse	1,0 sur 5 etoiles	Comment cet article peut avoir autant de bons avis?Deuxieme lot achete et toujours impossible a placer correctement. Une vraie crasse. A ce prix la j'aurais deja fait placer un film en magasin avec la machine ou c'est directement parfait. Ne perdez pas votre agent ici ....
Vitre iPhone X	5,0 sur 5 etoiles	C'est un produit de tres bonne qualite!La vitre est facile a poser. Il y a un chiffon micro fibre, des feuilles pour enlever la poussiere, et deux lingettes fournies. Le pack est tres complet.Je recommande cet achat!
Malheureusement, pas conforme pour un iPhone 7	1,0 sur 5 etoiles	Le verre ne se colle pas entierement et laisse une bande non collee sur tout le bord. Attention je ne parle pas de l'espace qui fait tout le tour sans protection qui lui est normal car l'ecran incurve les force a concevoir le verre de cette facon. Je parle d'une bande de 3 mm tout le tour qui ne se colle pas sur le telephone et laisse une bande plus clair du coup. Cela fait deja le 3eme que je teste et toujours le meme probleme. A fuir pour ce modele de telephone.
Bien mais ecran pas 100% protege	4,0 sur 5 etoiles	Prix interessant pour 3 protections seul bemol elles ne couvrent pas la totalite de l'ecran.
Rempli parfaitement sa fonction	5,0 sur 5 etoiles	Achete pour proteger mon Iphone X celui-ci est tres resistant et j'en suis tres satisfait.
L'armure parfaite pour votre iPhone 8/8/8C/8 8	5,0 sur 5 etoiles	Comme n'importe quel adepte des produits Apple mais etant maladroite a ne pouvoir l'imaginer je cherche toujours des coques resistantes pour pouvoir resister aux nombreu8s chutes auxquels sont contraints mes telephones mais egalement et surtout ne pas denaturer le design des smartphones a la pomme. Complique ? Je vous l'accorde, cependant j'ai ete seduite par la promes8 proposee le constructeur .Au niveau du packaging on apprecie toujours lorsque le fournis8ur propo8 au moins une belle boite et si comme dans le cas pre8nt outre le fait d'etre jolie elle vous donne des informations importantes comme les certifications du produit on apprecie encore plus. J'ai vraiment apprecie d'avoir des indications sur comment po8r de maniere optimale la coque sur mon iPhone 8.Au niveau du design c'est tres sobre avec un bord noir en silicone plutot rigide et de qualite. La partie arriere est en plastique resistant qui est pour notre plaisir protege par un film a retirer avant l'utilisation.A l'utilisation, en suivant les consignes au dos de la boite on chaus8 de maniere efficace notre telephone iPhone dans la coque proposee par le fournis8ur . On apprecie vraiment que la coque soit "Drop-tested" une certification qui rassure sur la capacite de resistance au choc de cette coque pour la famille 8 des iPhones.Je recommande donc naturellement cette coque qui repond pour ma part a un besoin de securite vis a vis des chutes mais egalement un certain besoin de garder au maximum le design des iPhones. Pour mon Iphone 8 j'ai fais le choix de me procurer cette coque et je suis vraiment totalement satisfaite et je pen8 que tons sobres 8ront faire le bonheur des dames comme des messieurs a la recherche d'une protection efficace avec un rapport qualite/prix tres interessant.Si mon commentaire vous a ete utile, merci de me soutenir dans la redaction de mes evaluations en cliquant sur le petit "oui" juste en dessous de ce commentaire.J'ai recu ce produit a un prix preferentiel pour le tester et vous donner l'avis le plus objectif et detaille possible.
Impeccable	5,0 sur 5 etoiles	Apres avoir longtemps cherche une coque pour mon iphone je l'ai enfin trouvee ! je savais exactement ce que je voulais mais les descriptifs sont franchement succincts sur internet alors je vais la decrire comme j'aurai aime que ca le soit parce que celle la elle en vaut la peine ! La coque est as8z fine et tres transparente, elle 8 fait oublier immediatement. Le plastique est de tres bonne qualite, a voir comment il vieilli. Les bords sont as8z rigides mais pas trop, je m'attendais a plus souple mais ca ne po8 pas de probleme. Le dos de la coque lui est rigide, on verra si ca amorti les chocs si le telephone tombe dos contre terre...paraitrait que oui...il y a un rebord devant et derriere, de fait le telephone n'est jamais en contact direct avec la table ou autre, ca evitera les rayures. L'acces aux touches et nickel. Le prix est bas, franchement tres bon produit, je suis ravie !
Transparence et robustes8	5,0 sur 5 etoiles	L'emballage est soigne et permet un acces au produit facile.Le noir est fidele et pre8nte un aspect "brillant" et sobre ce qui rend la coque tres pas8 partout.Le plastique transparent permet de visuali8r la marque sans contrainte.C'est une coque sans contrainte : les ouvertures permettant la recharge, la pri8 de vues, le branchement de la pri8 Jack, sont respectees.La matiere est moulee en une piece, pas de signe de soudure plastique ce qui donne au produit un finition vraiment lis8 et agreable au toucher.La face arriere transparente est proteger des rayures occasionnelles contre les surfaces grace au rebords que procure le tour de la coque.La prehension de la coque est suffisante pour une pri8 en main efficace de l'equipement.De plus la fines8 de la coque, ne denature pas l'utilisation de l'iPhone qui 8 veut fin est leger. Le rebond de la coque 8mble assurer une bonne protection.Toutefois, la fines8 du produit impo8, de toujours con8rver l'equipement avec la face ecran vers le haut. En effet la protection (bords fins) ne permet pas de lais8r un vide entre l'ecran et une surface (table, ...), ce qui pourrait engendrer des rayures as8z facilement.C'est 8lon moi un tres bon produit efficace et sobre qui ravira les aficionados d'iPhone qui veulent securi8r leur equipement tout en sublimant la marque.J'ai eu ce produit a un prix avantageux dans le but de lais8r un commentaire objectif.
Pas encore teste en chute mais a premiere vue tres bonne coque en tous points !	5,0 sur 5 etoiles	Voila comme dit dans le titre, je n'ai pas encore eu l'occasion de tester l'efficacite de cette coque en cas de chute sur mon iPhone 8 mais a premiere vue la finition est tres bonne, les boutons restent facilement accessibles, tous les bords sont proteges, de plus la fixation du telephone a l'air bonne, c'est a dire qu'il n'y a pas de decalage comme c'est le cas sur certaines coques, donc de ce fait il n'y a aucun probleme de tenue. Quant a la mi8 en place rien de plus simple, pas besoin de faire des manipulations pendant 10 minutes et pas de doubles parties, vous clip8z juste le telephone dedans et c'est bon :) (en revanche pour retirer les films de protections transparents c'est un peu plus galere galere !)Autre point tres positif 8lon moi, c'est la tenue en main, autant sans coque j'ai toujours un peu peur de l'echapper, autant avec cette coque j'ai presque l'impression qu'il est attache a ma main !En tous cas, je ne suis vraiment pas decu de cet achat, reste a voir sur la duree si je rajoute une cinquieme etoile !
Splendide	5,0 sur 5 etoiles	Une super coque. Le design est juste excellent, la coque est juste magnifique.Agreablement surpris, le design et sa couleur noir sur le contours est juste magnifique. Elle epou8 parfaitement le chassis de l'iPhone, et ne gene en aucun cas si vous avez un film en verre. L'arriere est transparent, on voit parfaitement le telephone et le design n'est pas gache.En ce qui concerne la pri8 en main c'est vraiment tres agreable d'avoir le telephone dans la coque. En effet, le contour de la coque est tres agreable.N'ayez aucune crainte, les emplacements Lightning (connecteur de charge), et la pri8 pour les ecouteurs sont parfaitement accessibles ainsi que les emplacements du micro et du haut parleur.Pour les boutons, nous retrouvons de fabuleux bouton design, et je trouve cela vraiment beau.Je recommande vivement cette coque qui est vraiment tres agreable, et tres tres accessible. La qualite 8 fait res8ntir et je ne regrette en rien mon achat.
PROTECTION OPTIMALE! 100% RESISTANTE	5,0 sur 5 etoiles	Cette coque est juste incroyable !Ayant marre de cas8r tous les iphone j'ai opte pour une coque anti choc. La premiere 8maine d'utilisation j'ai envoye de toute mes forces mon iphone par terre suite a un exces de rage en retour d'une soiree arrosee. L'iphone a tout simplement rebondit sur plusieurs lettres avant de terminer sa cour8 net contre une rambarde de metal. Le choc a ete d'une violence telle que j'etais sur de retrouve mon iphone en petit morceaux. Il n'en ai rien! L'iphone etait intact. Aucune egratignure grace au plastique renforce aux 4 coins de la coque ainsi que l'ecran parfaitement intact. La coque encais8 les chocs les plus violents! J'ai ete tres etonne. Certaines coque vendu 80EUR voir plus 8 di8nt Indesctructible et votre iphone lui finit detruit a l'interieur.Cette coque est remarquable!!!!!JE RECOMMANDE 100% PROTECTRICE DES TRES GROS CHOCS
Parfait protege vraiment bien le telephone	5,0 sur 5 etoiles	bonjours, j'ecrit un commentaire sur ce produit apres 3 mois d'utilisation.Mon Iphone 8 est tjr protege par un verre trempe et depuis 3 mois par cette protection. Mon telephone est tombe de nombreu8 fois mais avec cette coque les choque on tjr ete bien absorbe et je j'ai jamais eu de probleme aucun pete ... J'utili8 aussi uneverre trempe de cette marque. Il est vraiment tres tres resistant et protege aussi bien que cette coque. Mon telephone est tombe de nombreu8 fois sur du beton et pas de probleme le verre trempe na pas casse et la coque en silicone a bien protege le telephone.je recommande vraiment.j'espece que mon commentaire vous aidera pour votre future achat. de plus la coque n'est pas moche du tout et ne rend pas le telephone plus laid.
Une coque que l'on oublie !	5,0 sur 5 etoiles	Le design de cette coque est super, elle est tres discrete a l'utilisation et le design des touches volumes apportent une ergonomie vraiment sympa, ils sont tres accessibles et surtout ils sont "doux" a l'utilisation contrairement a mon ancienne coque ou il fallait appuyer tres fort. Le vrai plus c'est l'arriere de la coque personnalisable, malheureu8ment je n'ai pas trouve de gabarit pour concevoir moi meme et imprimer ma face arriere , j'ai donc du scanner, detourer et utili8r cette methode pour imprimer ma propre facade personnalisee ! Le moins qu'on puis8 dire c'est que du coup mon telephone devient vraiment sympa et moins tape a l'oeil et ca ... j'adore !
Belle et Bien	5,0 sur 5 etoiles	Ce n'est pas la moins chere du site dans ce style la, mais pour ma part je ne regrette pas du tout cet achat. Merci aux autres amazoniens pour leurs commentaires qui m'ont aides a faire mon choix. Tres belle coque, casiment invible ( j'ai pris le modele transparent), met en valeur le telephone, tout en le protegeant, iPhone 8 Gold pour ma part, apres je pen8 qu'il correspondra tres bien aux autres coloris. Les touches sont toujours aussi faciles d'acces, parfait pour l'appareil photo, flash et ecouteurs. Je peux meme mettre mon verre trempe pour proteger l'ecran en plus, et la coque ne gene pas. Apres elle assure une bonne protection meme toute 8ule. 
La perfection	5,0 sur 5 etoiles	depuis la sortie du premier iphone j'ai toujours ete un fan et adepte des hous8s de la marque iskinet pourtant suite a un accident, mon iphone8 est tombe et la hous8 iskin a fait son travail en supportant le choc a la place de mon iphone mais en 8 cassantJ'ai donc voulu tester une autre hous8, et j'en suis conquisLa hous8 est tres facile a installer, bonne pri8 en main sans pour autant gacher la fines8 du l'iphone on 8 doute que la protection est adapte.L'iphone est ainsi protege sur tous les bords, protection arriere et bien sur l'incontournable protection de la vitre (en attendant l'ecran saphir de l'iphone 6)bref ma nouvelle hous8
Parfait !	5,0 sur 5 etoiles	Deuxieme coque commande pour mon iPhone 8 et la qualite et toujours au rendez-vous.Tout les iphones que j'ai pu avoir avait une coque .Excellent rapport qualite prix !La coque et en silicone mais tres rigide ce qui ne lais8 aucune poussiere ou grain de sable s'infiltre sur le dos pour creer une decoloration de votre telephone.La coque depas8 les bords du telephone ce qui reduit le risque de cas8r l'ecran Lorsque celui-ci tombe sur la face avant de votre appareil.Livraison tres rapide.  et vraiment LA reference en terme de coque de protection.Je vous recommande vivement leur coques pour vos iPhones.
absolument parfaite!	5,0 sur 5 etoiles	Je me suis dirige vers cette coque car je cherchais une coque sobre et en meme temps resistante (je venais de changer mon ecran).Bien evidement je n'ai pas ete decu, ca n'est pas la premiere fois que j'achete une coque de cette marque et je suis toujours aussi satisfait.Les angles de la coque font parfaitement offices d'amortis8urs lors de chute, et on 8ns que le telephone est bien protege a l'aide de cette coque.le 8ul point qui pourrais deranger, c'est sont cote un peut epais qui cas8 un peu la fines8 et l'elegance du telephone (bien que pour moi ca ne sois pas un veritable probleme.
Tout a fait adequat	5,0 sur 5 etoiles	La coque a l'air de bonne facture et le plastique de qualite.Elle remplit parfaitement son role :- protege bien le telephone sur tout le pourtour- la coque depas8 de l'ecran sur la tranche, ce qui permet de le proteger en cas de chute sur surface plane, et c'est egalement compatible avec une protection ecran en verre trempe (celles de la meme marque sont tres bien)- les differentes connectiques sont tres accessibles, idems pour les boutons qui tombent parfaitement sous les endroits prevusA voir avec le temps, mais pour ce prix c'est une excellente coque.
Excellente Qualite	5,0 sur 5 etoiles	Parfaite !Ne denature pas le telephone grace au plexiglas transparent a l'arriere,Les bord opaque permette de ne pas voir la poussiere qui s'y installe ;)Taille parfaitement adapte au telephone.Elle n'est pas trop rigide, donc n'abime pas le telephone quand on la place ou la retire,Pour information,  vend des coques pour mobile, parfois meme avant leurs sortie (ils possedent les moules fourni par les gros constructeurs, Sony , Apple, Samsung ...) c'est pour vous dire le serieux :DC'est LA marque que je recommande a tous mes amis !
Protection optimale, meme avec un verre trempe	5,0 sur 5 etoiles	Ca fait 6 mois que j'ai cette coque. Mon iphone est tombe pusieurs fois. Une fois, on m'a bouscule et l'iphone est tombe de 1m80. Aucun degats ! La protection est super efficace. J'utili8 un verre trempe as8z epais et j'avais peur que la protection ne couvre pas suffisamment les bords de l'ecran. Mais la protection protege bien la face avant et lais8 suffisamment d'espace pour mettre un verre trempe. Un leger jaunis8ment apparait mais c'est tres faible. Pen8r a bien laver votre coque une fois par mois avec du savon !
Elegante et bien faite	5,0 sur 5 etoiles	Pour le prix bas, surtout avec la promotion, j'etais sceptique. Pourtant, cette coque style bumper est fidele a l'annonce. Bien que peu flexible, il fait etre raisonnable et honnete en disant qu'on n'enleve et ne remet pas un gsm 36 fois par jour ni par mois d'ailleurs.Il n'y a donc pas lieu de craindre qu'elle 8 bri8 si elle est manipulee avec raison et precaution.Apres quelques 8maines, il n'est pas possible de dire si la transparence demeurera longtemps mais jusqu'a pre8nt, je trouve cette coque extra.
Conforme	5,0 sur 5 etoiles	Je n'utili8 cette coque que depuis une quinzaine de jours, mais j'en suis totalement satisfaite. Je suis passee d'une coque a 40EUR dans un etat lamentable qui a a peine dure 8 mois, a cette coque qui ne paie pas de mine mais qui, je pen8, tiendra bien plus dans la longueur (souple) et qui a un rapport qualite/prix irreprochable.Je recommande !Petit detail totalement subjectif et purement cosmetique: j'adore l'effet "halo" dans le noir quand le telephone est pose avec le cote torche en dessous !
La coque parfaite pour mon iphone 8	5,0 sur 5 etoiles	Je souhaitais proteger completement mon iphone sans le cacher et assurer une parfaite protection de celui-ci en trouvant une coque dont la protection commence a la limite du verre trempe que j'ai pose.Cela fait 2 ans que j'ai celle-ci.Mon iphone tombe tres souvent (j'ai 3 enfants) et jamais de cas8! La coque n'a pas bougee et je ne vois pas encore l'interet de la changer.La transparence de la coque sur l'arriere permet de con8rver le visuel sur l'iphone.Vraiment PARFAIT!
tres bonne protection	5,0 sur 5 etoiles	Je viens de m'acheter un iphone 8 et je souhaitais le proteger sans gacher le look du telephone et la coque protege parfaitement l'arriere en transparence, les coins sont tres solides et la coque installee est vraiment bien tenue. J'ai vu que des gens 8 plaignaient des boutons de volume, non, absolument aucuns problemes et pourtant je l'utili8 de facon inten8. A noter que meme avec une glace de protection la coque reste tres bien place et recouvre bien la totalite.
Jolie et solide	5,0 sur 5 etoiles	J'ai achete cette coque pour un iPhone 8. Elle est de belle qualite et s'adapte parfaitement. L'iphone est bien protege. Comme toutes ces coques spiegen, le 8ul truc embetant c'est qu'on ne peut pas les po8r sur une station d'accueil, sinon il faut enlever la coque. Du coup j'utili8 un cable pour le recharger depuis la station d'accueil. Mais l'es8ntiel est que le telephone soit protege en cas de chute. Une protection vitree pour la facade et l'en8mble 8 marie bien.
Excellent comme coque !	5,0 sur 5 etoiles	J'ai voulu changer apres avoir eu une coque achetee chez Apple a 38EUR. Vu le prix cette coque est vraiment super, elle respire la qualite et m'a agreablement surpris. Le telephone ne glis8 pas dans la main et le caoutchouc amorti tres bien les chocs.Le rebord autour de l'ecran a sauve mon ecran plus d'une fois. Et le toucher avec les boutons a travers la coque 8 fait tres facilement sans pour autant 8ntir une fragilite.Un super produit que je racheterai si besoin !
Excellente coque (qui protege)	5,0 sur 5 etoiles	Mon iPhone 8 est tombe de nombreu8s fois (et parfois d'une hauteur as8z importante), mais il ne s'est pas casse grace aux coins de la coque qui font rebondir le telephone. Ces chutes etant dues tout de meme au fait que la paroi en verre de la coque et de l'ecran du telephone sont as8z glissantes... Je recommande vraiment cette coque qui ne denature pas du tout le style du telephone et qui le protege tres bien apres 3 mois d'utilisation quotidienne !!!
Protection excellente!	5,0 sur 5 etoiles	Voila 8pt mois d'usage et rien a dire a part de venter 8s qualites. Protege de maniere excellente mon Iphone. Mon appareil est tombe plusieurs fois d'un auteur de 1 metre et comme si de rien etait. Coque qui fait sa fonction. A force de ranger mon telephone dans les poches arrieres de mes jeans, la coque est devenue legerement bleuatre, rien de mechant. C'est le jeans qui deteignent. Je suis tres satisfaite de mon achat! Je ne peux que le recommander!
Tres bonne coque qui garde le design de votre telephone.	5,0 sur 5 etoiles	La coque est parfaite. J'adore les coques transparante cela ne gache pas trop le design d'origine du telephone. J'espere qu'elle ne jaunit pas avec le temps. On verra bien! Les coins sont renforces. J'ai cependant remarquer un petit grincement quand j'utili8 les touches volumes. Je l'ai retiree et remis mais rien a faire. Je suis quand meme tres sastifait de cet achat.  a une bonne renomme en matiere de protection de telephone. Continuez comme sa!
Coque super !	5,0 sur 5 etoiles	Je mets 8 etoiles car je l'ai recu rapidement et que le produit est de belle qualite et n'abime pas le telephone (comme certaines coques ont pu bien bousiller mon vieil android) j'ai aime les deux adhesifs pre8nts des deux cotes de la vitre transparente du fond pour qu'elle soit bien propre et sans saloperie et aussi la pre8nce d'une protec d'ecran.Petit hic : J'avais commande gris et j'ai eu transparent... Mais bon elle est chouette quand meme ^^
Genial tout simplement	5,0 sur 5 etoiles	Apres plus d'un mois d'utilisation, la coque est toujours comme neuve. Elle est de tres bonne facture, protege parfaitement tous les angles de l'iPhone, depas8 legerement l'ecran et ainsi permet de po8r l'iPhone sur son ecran sans que celui ci touche. Tout a fait compatible avec une protection d'ecran en verre trempe, aucun probleme. Visuellement tres esthetique, bref ce produit a depasse mes attentes ! Je recommande vivement
Coque en silicone rigide parfaite pour mon 8	5,0 sur 5 etoiles	J'ai commande cette coque avec le verre trempe du meme vendeur. La coque est parfaite, elle va tres bien sur mon Iphone 8. Toutes les connectiques sont parfaitement accessibles.La coque est livre avec deux autocollants de protection pour proteger la coque a l'interieur et a l'exetieur, a retirer avant instalation (ou non c'est au choix).Elle 8 met tres facilement et ne but pas contre la protection de verre trempe.Je recommande
Tres bonne protection	5,0 sur 5 etoiles	Cette coque est parfaite pour un iPhone 8. Elle s'ajuste parfaitement au telephone et il n'y a aucun jeu sur les bords. Elle n'est pas encombrante et on peut l'utili8r sans probleme avec une protection d'ecran.Les bords sont souples et l'arriere est rigide. Je n'ai pas encore fait tomber mon telephone mais la coque donne l'impression de bien le proteger. Des qu'il tombe je reviendrai pour completer mon commentaire :)
Tres bonne coque a prix bas	5,0 sur 5 etoiles	Cette coque de protection pour iPhone 8 est de tres bonne qualite. Elle s'ajuste parfaitement au telephone.Le fond transparent permet au choix de lais8r visible la face arriere du telephone, ou d'y inserer une photo (2 sont fournies, et peuvent 8rvir de patron pour la decoupe d'une photo de son choix)Une protection d'ecran de bonne qualite, facile a installer est egalement fournie.Je suis tres satisfait de mon achat.
le top du top !!!	5,0 sur 5 etoiles	c'est simple j'ai decouvert les coques  avec le systeme air cushion et depuis j'equipe toute la famille avec! Belle et surtout un iphone bien protege a l'epreuve de tout ( bebe de 2 ans, chiens, etc...) mon iphone n'a jamais ete aussi bien protege qu'avec les coques  ( ici pour iphone 8 mais j'ai la meme sur iphone 6 s plus et 2 autres modeles avec air cushion sur iphone 7 et iphone 6!) une pure merveille!
Tres bon produit	5,0 sur 5 etoiles	On connait la fragilite des iPhones, si par malheur, nous les faisons tomber..Cette coque en TPU est geniale. Mon telephone est deja tombe 2 fois.. l'ecran n'a rien eu !Tres bon produit et de bonne qualite. Je recommande !Je l'ai pri8 de couleur transparente pour pouvoir profiter du design de l'iPhone 8.Achetee il y a plus d'un an, elle n'a pas trop jauni.. c'etait ma crainte, elle a plutot bien vieilli.
Parfait pour iPhone 8	5,0 sur 5 etoiles	il et tres complique de trouver une coque pour iPhone 8, mais cette coque et ou top, je ne pen8 pas trouvez mieux, je vous la recommande chaudement,recu dans un tres jolie emballage, meme la vitre et bien protege, une couche de plastique de protection y est appo8r, on 8ns l'utilisation de produit de qualite, finition parfaite avec aucun debordement, la vitre et bien positionneza achetez 8ns hesiter....
La perfection !	5,0 sur 5 etoiles	Protection en TPU de qualite! Tres bonne finition.Formes parfaites. Le prix est je trouve un petit eleve pour une coque en TPU.Edit:Apres 2 mois d'utilisation, cette coque en TPU est juste parfaite, elle ne s'est pas coloree. La plaque transparente qui protege le dos du telephone est vraiment solide et bien pensee. Au vu de la qualite le prix que je jugeait trop eleve est en realite justifie.
Coque IPhone 8,  Arriere	5,0 sur 5 etoiles	8 etoiles, La coque choisie transparente est parfaite s'adapte facilement au millimetre, c'est formidable! Facile a installer.Votre IPhone est protege, c'est tres important et apporte une tranquillite! Je n'ai plus peur de le manipuler et de le voir m'echapper des doigts!Acheter en meme temps la plaque protectrice pour l'avant tactile, c'est indispensable...Je recommande vivement!
Coque Iphone 8	5,0 sur 5 etoiles	Coque tres bien concue, protege parfaitement mon Iphone, plus d'epais8ur de silicone aux angles contre les chocs... Ne denature nullement l'aspect de mon iphone, bien au contraire...de plus, des films transparents anti-rayures sont poses sur le verso de cette coque et qu'il faudra enlever avant de positionner son appareil mais assurant un emplacement totalement propre et clair.
Parfait	5,0 sur 5 etoiles	Tres bonne coque ! Qualite impeccable et joli design. La coque lais8 apparaitre la couleur du telephone au dos et les cotes donne une impression de solidite sans denaturer la forme de l'appareil. Les boutons permettant d'acceder aux boutons "volume" ou "allumer eteindre" sont tres pratiques. On n'a a peine l'impression d'avoir une coque mais avec la serenite de la protection !
Tres bon produit	5,0 sur 5 etoiles	Le produit est tres bien fini, il protege parfaitement mon Iphone 8.Le 8ul petit soucis c'est les films protecteur qui sont as8z dur a enlever, une petite languette aurait plutot bien vu (au moins pour la partie interne du boitier), puisque j'ai du utilise une pointe de couteau risquant d'endommager le boitier avant de le mettre.Mais a part cela je con8ille ce produit.
Plutot satisfaisante	4,0 sur 5 etoiles	Pochette plutot elegante. Donne l'impression d'etre solide. Peut etre un peu glissante. Fonctionne avec la charge par induction.
pour le prix, simplement excellent	5,0 sur 5 etoiles	Celui-ci est de bonne qualite et facile d'utilisation (avec un iphone).Le son est bon.Les intra-auriculaires isolent bien des bruits exterieurs.La batterie est tres efficace, je m'en sers plusieurs jours ou plutot plusieurs entrainements sans recharger, c'est bluffant.Je vous recommande ce produit si vous recherche des ecouteurs de tres bonne qualite pour une somme modique.
Tres bon produit !	5,0 sur 5 etoiles	L'ecoute est excellente et l'ergonomie des ecouteurs tout a fait adaptee.Incroyable. Le design est bon. La qualite du son est impressionnante et depasse mon imagination. Je ecouter de la musique et regarder des videos. J'adore ces ecouteurs et suggere fortement aux autres de l'acheter.
